tau,t_i,sigma,Imax,S_i,R_e_i
56.81460674157303,82.04129802382046,0.4403284907053756,0.101166284692845,0.8498868015179372,1.1226881177484374
57.82022471910112,81.9097639449452,0.440644408182267,0.10009389073887837,0.852170370920545,1.1265123262942396
58.82584269662921,81.78040160896761,0.4409082147319951,0.0990485449026379,0.8543897560837411,1.1301223861205612
59.8314606741573,81.6593535913569,0.44088506860315557,0.09802913940853358,0.8564427952093853,1.1327785215617043
60.83707865168539,81.53470415300687,0.44105117903608426,0.09703493841313865,0.8585330531304997,1.1359710459739683
61.84269662921348,81.44123131773927,0.4401181459510277,0.09606670324009642,0.8600846754492207,1.1356166181588074
62.84831460674157,81.28897318691094,0.4413669476069363,0.09511845271185176,0.8625831780683172,1.1421471130833105
63.85393258426966,81.17030378870835,0.4414333583429796,0.09419452412715806,0.8645057364679337,1.1448650116674326
64.85955056179775,81.05291507623349,0.4414947569799203,0.09329245783678292,0.8663862999187333,1.1475150268000605
65.86516853932584,80.93815090821236,0.441507705842529,0.0924115557434023,0.8682044793474447,1.149956903636693
66.87078651685393,80.81506433369746,0.4418143077984429,0.09155088913841,0.8701322631454431,1.1533106506040895
67.87640449438202,80.69637997771028,0.4420056766078302,0.09071002983946837,0.8719694013712248,1.1562462757032386
68.8820224719101,80.54626145570255,0.4431292937468244,0.08988978730048075,0.8742627698246533,1.1622343312246235
69.8876404494382,80.46350570429249,0.4423249350347664,0.08908499699771978,0.8755126163312045,1.1617831834224552
70.89325842696628,80.35142592901899,0.44239671140468034,0.08829961298931538,0.8771890877790537,1.1641967031405744
71.89887640449437,80.234248593192,0.44262932985486897,0.08753156254244986,0.8789219131127667,1.1671098521875898
72.90449438202246,80.12423409271521,0.4426900860389477,0.08678027278341464,0.8805304047704074,1.1694062419431632
73.91011235955055,80.01400897792945,0.4427786530031629,0.0860452591308743,0.8821241964011398,1.1717572903919826
74.91573033707864,79.9032960744248,0.4428992150782261,0.08532600959585529,0.8837072276991677,1.1741797125207496
75.92134831460673,79.80165212211611,0.44281824152636534,0.0846221099821754,0.8851449550687986,1.1758749974984972
76.92696629213482,79.68995246261198,0.44300021807028483,0.08393294105519607,0.8867077605613591,1.178435193879888
77.93258426966291,79.57479142672359,0.44327401965238294,0.08325817295429659,0.888300299261854,1.1812813329366503
78.938202247191,79.42684720218256,0.44428537126541384,0.08259906232843456,0.8903185319889819,1.1866664985876092
79.94382022471909,79.35336304860041,0.44364764853877187,0.08195024132582122,0.89130950458954,1.1862820974942212
80.94943820224718,79.25662542224963,0.4435510666228715,0.0813161074695272,0.8926025101648785,1.187744386361653
81.95505617977527,79.15378306646296,0.44360383756855454,0.08069483207483591,0.8939627915526414,1.1896959749287486
82.96067415730336,79.05787778792205,0.4435292736079399,0.08008605177163901,0.8952180982266605,1.1911662984814566
83.96629213483145,78.9651464213262,0.44341034158190656,0.07948952550286348,0.8964198034552009,1.1924454337525685
84.97191011235954,78.84486329652577,0.44385230797509434,0.07890417346916917,0.8979610052159298,1.1956861939101784
85.97752808988763,78.73923011162874,0.4440093291898007,0.07833054336115369,0.8992982645807294,1.1978904575941247
86.98314606741572,78.63124155298287,0.44421813926416115,0.07776805123511071,0.9006497658882248,1.2002548893947087
87.9887640449438,78.52719179862203,0.44435973442265236,0.0772163632787603,0.9019371810401207,1.2023536986987111
88.9943820224719,78.43663782430802,0.4442663574372977,0.07667508557736234,0.9030458784513175,1.2035787090549945
90.0,78.3049930545433,0.44491148197941355,0.07614474180292125,0.9046383395174123,1.2074519528702634
